 , won, played
ROOT,2218.5, 4492
ROOT,2456.5, 4584
ROOT,2600.5, 4940
ROOT,3447.5, 5492
ROOT,3435.0, 5464
ROOT,4315.0, 5667
ROOT,4348.5, 5713
ROOT,5028.0, 6564
ROOT,5716.5, 7134
ROOT,6810.5, 8032
ROOT,11781.0, 12748
ROOT,13264.5, 14185
ROOT,13561.0, 14503
ROOT,24324.5, 25223
ROOT,45305.5, 45692
ROOT,41256.5, 41668
ROOT,3594301.0, 3594301
ROOT,5781541.0, 5781541
ROOT,1.294293E7, 12942930
